,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
1667,chinese,102455,9828,58,1766.4655172413793,169.44827586206895
1684,record,182438,12253,44,4146.318181818182,278.47727272727275
1686,beach,193111,10216,27,7152.259259259259,378.3703703703704
1713,palestinian,7223,1827,18,401.27777777777777,101.5
1718,parents,215709,17891,21,10271.857142857143,851.952380952381
1719,children,186376,12529,49,3803.591836734694,255.69387755102042
1720,matter,448204,32746,53,8456.67924528302,617.8490566037735
1727,san,298876,19558,41,7289.658536585366,477.0243902439024
1734,food,218188,11602,30,7272.933333333333,386.73333333333335
1740,day,902287,61984,59,15293.0,1050.5762711864406
1741,ban,495044,23399,52,9520.076923076924,449.9807692307692
1749,fire,87936,8235,63,1395.8095238095239,130.71428571428572
1757,including,12515,2595,16,782.1875,162.1875
1768,test,168679,13334,37,4558.891891891892,360.3783783783784
1773,service,252299,23416,25,10091.96,936.64
1774,crash,55101,7074,39,1412.8461538461538,181.3846153846154
1791,truck,44173,3481,19,2324.8947368421054,183.21052631578948
1793,k,175863,14198,33,5329.181818181818,430.24242424242425
1819,mexico,22557,1749,37,609.6486486486486,47.270270270270274
1838,minneapolis,163581,9211,16,10223.8125,575.6875
1843,white,613095,37936,50,12261.9,758.72
1844,house,572819,36608,48,11933.729166666666,762.6666666666666
1863,program,106873,5335,20,5343.65,266.75
1915,among,241196,12683,23,10486.782608695652,551.4347826086956
1917,body,620711,38682,48,12931.479166666666,805.875
1928,hit,413274,25806,57,7250.421052631579,452.7368421052632
1930,keep,233385,13658,23,10147.173913043478,593.8260869565217
1934,response,124364,6776,19,6545.473684210527,356.63157894736844
1935,call,217635,12510,31,7020.4838709677415,403.5483870967742
1936,policy,145683,6675,20,7284.15,333.75
1982,mayor,370787,23343,51,7270.333333333333,457.70588235294116
1998,protect,43680,2433,17,2569.4117647058824,143.11764705882354
2022,california,399467,38941,106,3768.556603773585,367.3679245283019
2027,nearly,546325,35611,51,10712.254901960785,698.2549019607843
2034,pentagon,212243,12036,18,11791.277777777777,668.6666666666666
2037,nuclear,19487,2237,20,974.35,111.85
2044,space,17607,2417,31,567.9677419354839,77.96774193548387
2051,free,124378,5102,19,6546.210526315789,268.5263157894737
2060,statue,386988,33633,47,8233.787234042553,715.5957446808511
2061,navy,216924,18571,28,7747.285714285715,663.25
2073,france,10912,1418,22,496.0,64.45454545454545
